homology dimension,line index,epsilon
0,0,0.1
0,1,0.11
0,1,0.1
0,2,0.12
0,2,0.11
0,2,0.1
0,3,0.13
0,3,0.12
0,3,0.11
0,3,0.1
0,4,0.6
0,4,0.59
0,4,0.58
0,4,0.57
0,4,0.56
0,4,0.55
0,4,0.54
0,4,0.53
0,4,0.52
0,4,0.51
0,4,0.5
0,4,0.49
0,4,0.48
0,4,0.47
0,4,0.46
0,4,0.45
0,4,0.44
0,4,0.43
0,4,0.42
0,4,0.41
0,4,0.4
0,4,0.39
0,4,0.38
0,4,0.37
0,4,0.36
0,4,0.35
0,4,0.34
0,4,0.33
0,4,0.32
0,4,0.31
0,4,0.3
0,4,0.28
0,4,0.27
0,4,0.26
0,4,0.25
0,4,0.24
0,4,0.29
0,4,0.23
0,4,0.22
0,4,0.21
0,4,0.2
0,4,0.19
0,4,0.18
0,4,0.17
0,4,0.16
0,4,0.13
0,4,0.12
0,4,0.11
0,4,0.1
0,4,0.15
0,4,0.14
1,0,0.42
1,0,0.41
1,0,0.4
1,0,0.39
1,0,0.38
1,0,0.37
1,0,0.36
1,0,0.35
1,0,0.34
1,0,0.33
1,0,0.32
1,0,0.31
1,0,0.3
1,0,0.28
1,0,0.27
1,0,0.26
1,0,0.25
1,0,0.24
1,0,0.29
1,0,0.23
1,0,0.22
1,0,0.21
1,0,0.2
1,0,0.19
1,0,0.18
1,0,0.17
1,0,0.16
1,1,0.42
1,1,0.41
1,1,0.4
1,1,0.39
1,1,0.38
1,1,0.37
1,1,0.36
1,1,0.35
1,1,0.34
1,1,0.33
1,1,0.32
1,1,0.31
1,1,0.3
1,1,0.28
1,1,0.27
1,1,0.26
1,1,0.29
