homology dimension,line index,epsilon
0,0,0.2
0,0,0.197
0,0,0.196
0,0,0.195
0,0,0.194
0,0,0.199
0,0,0.198
0,0,0.192
0,0,0.191
0,0,0.19
0,0,0.188
0,0,0.193
0,0,0.187
0,0,0.186
0,0,0.185
0,0,0.189
0,0,0.184
0,0,0.183
0,0,0.182
0,0,0.181
0,0,0.18
0,0,0.176
0,0,0.175
0,0,0.174
0,0,0.179
0,0,0.178
0,0,0.177
0,0,0.173
0,0,0.172
0,0,0.171
0,0,0.17
0,0,0.169
0,0,0.168
0,0,0.167
0,0,0.166
0,0,0.165
0,0,0.164
0,0,0.163
0,0,0.162
0,0,0.161
0,0,0.16
0,0,0.159
0,0,0.155
0,0,0.154
0,0,0.153
0,0,0.158
0,0,0.157
0,0,0.156
0,0,0.15
0,0,0.148
0,0,0.152
0,0,0.151
0,0,0.147
0,0,0.146
0,0,0.149
0,0,0.145
0,0,0.144
0,0,0.141
0,0,0.14
0,0,0.139
0,0,0.142
0,0,0.138
0,0,0.143
0,0,0.137
0,0,0.136
0,0,0.135
0,0,0.134
0,0,0.133
0,0,0.132
0,0,0.131
0,0,0.13
0,0,0.129
0,0,0.125
0,0,0.124
0,0,0.123
0,0,0.128
0,0,0.127
0,0,0.126
1,0,0.2
1,0,0.197
1,0,0.196
1,0,0.195
1,0,0.194
1,0,0.199
1,0,0.198
1,0,0.192
1,0,0.191
1,0,0.19
1,0,0.188
1,0,0.193
1,0,0.187
1,0,0.186
1,0,0.185
1,0,0.189
1,0,0.184
1,0,0.183
1,0,0.182
1,0,0.181
1,0,0.18
1,0,0.176
1,0,0.175
1,0,0.174
1,0,0.179
1,0,0.178
1,0,0.177
1,0,0.173
1,0,0.172
1,0,0.171
1,0,0.17
1,0,0.169
1,0,0.168
1,0,0.167
1,0,0.166
1,0,0.165
1,0,0.164
1,0,0.163
1,0,0.162
1,0,0.161
1,0,0.16
1,0,0.159
1,0,0.155
1,0,0.154
1,0,0.153
1,0,0.158
1,0,0.157
1,0,0.156
1,0,0.15
1,0,0.148
1,0,0.152
1,0,0.151
1,0,0.147
1,0,0.146
1,0,0.149
1,0,0.145
1,0,0.144
1,0,0.141
1,0,0.14
1,0,0.139
1,0,0.142
1,0,0.138
1,0,0.143
1,0,0.137
1,0,0.136
1,0,0.135
1,0,0.134
1,0,0.133
1,0,0.132
1,0,0.131
1,0,0.13
1,0,0.129
1,0,0.125
1,0,0.124
1,0,0.123
1,0,0.128
1,0,0.127
1,0,0.126
1,1,0.2
1,1,0.197
1,1,0.196
1,1,0.195
1,1,0.194
1,1,0.199
1,1,0.198
1,1,0.192
1,1,0.191
1,1,0.19
1,1,0.188
1,1,0.193
1,1,0.187
1,1,0.186
1,1,0.185
1,1,0.189
1,1,0.184
1,1,0.183
1,1,0.182
1,1,0.181
1,1,0.18
1,1,0.176
1,1,0.175
1,1,0.174
1,1,0.179
1,1,0.178
1,1,0.177
1,1,0.173
1,1,0.172
1,1,0.171
1,1,0.17
1,1,0.169
1,1,0.168
1,1,0.167
1,1,0.166
1,1,0.165
1,1,0.164
1,1,0.163
1,1,0.162
1,1,0.161
1,1,0.16
1,1,0.159
1,1,0.155
1,1,0.154
1,1,0.153
1,1,0.158
1,1,0.157
1,1,0.156
1,1,0.15
1,1,0.148
1,1,0.152
1,1,0.151
1,1,0.147
1,1,0.146
1,1,0.149
1,1,0.145
1,1,0.144
1,1,0.141
1,1,0.14
1,1,0.139
1,1,0.142
1,1,0.138
1,1,0.143
1,1,0.137
1,1,0.136
1,1,0.135
1,1,0.134
1,1,0.133
1,1,0.132
1,1,0.131
1,1,0.13
1,1,0.129
1,1,0.125
1,1,0.124
1,1,0.123
1,1,0.128
1,1,0.127
1,1,0.126
2,0,0.2
2,0,0.197
2,0,0.196
2,0,0.195
2,0,0.194
2,0,0.199
2,0,0.198
2,0,0.192
2,0,0.191
2,0,0.19
2,0,0.188
2,0,0.193
2,0,0.187
2,0,0.186
2,0,0.185
2,0,0.189
2,0,0.184
2,0,0.183
2,0,0.182
2,0,0.181
2,0,0.18
2,0,0.176
2,0,0.175
2,0,0.174
2,0,0.179
2,0,0.178
2,0,0.177
2,0,0.173
2,0,0.172
2,0,0.171
2,0,0.17
2,0,0.169
2,0,0.168
2,0,0.167
2,0,0.166
2,0,0.165
2,0,0.164
2,0,0.163
2,0,0.162
2,0,0.161
2,0,0.16
2,0,0.159
2,0,0.155
2,0,0.154
2,0,0.153
2,0,0.158
2,0,0.157
2,0,0.156
2,0,0.15
2,0,0.148
2,0,0.152
2,0,0.151
2,0,0.147
2,0,0.146
2,0,0.149
2,0,0.145
2,0,0.144
2,0,0.141
2,0,0.14
2,0,0.139
2,0,0.142
2,0,0.138
2,0,0.143
2,0,0.137
2,0,0.136
2,0,0.135
2,0,0.134
2,0,0.133
2,0,0.132
2,0,0.131
2,0,0.13
2,0,0.129
2,0,0.125
2,0,0.124
2,0,0.123
2,0,0.128
2,0,0.127
2,0,0.126
